Sentence,Word Count
"TERMS AND CONDITIONS

Last updated April 21, 2024


AGREEMENT TO OUR LEGAL TERMS

We are ApotheosisAI Private Limited (""Company,"" ""we,"" ""us,"" ""our""), a company registered in India at 008, Sagar Avenue Mora , Mahveer Colony, Gwalior, Madhya Pradesh 474006.",61
"

We operate the website __________ (the ""Site""), the mobile application __________ (the ""App""), as well as any other related products and services that refer or link to these legal terms (the ""Legal Terms"") (collectively, the ""Services"").",61
"

These Legal Terms constitute a legally binding agreement made between you, whether personally or on behalf of an entity (""you""), and ApotheosisAI Private Limited, concerning your access to and use of the Services.",61
" You agree that by accessing the Services, you have read, understood, and agreed to be bound by all of these Legal Terms.",61
" IF YOU DO NOT AGREE WITH ALL OF THESE LEGAL TERMS, THEN YOU ARE EXPRESSLY PROHIBITED FROM USING THE SERVICES AND YOU MUST DISCONTINUE USE IMMEDIATELY.",61
" The modified Legal Terms will become effective upon posting or notifying you by __________, as stated in the email message.",61
" By continuing to use the Services after the effective date of any changes, you agree to be bound by the modified terms.",61
" If you are a minor, you must have your parent or guardian read and agree to these Legal Terms prior to you using the Services.",61
"

We recommend that you print a copy of these Legal Terms for your records.",61
"

Your use of our Services

Subject to your compliance with these Legal Terms, including the ""PROHIBITED ACTIVITIES"" section below, we grant you a non-exclusive, non-transferable, revocable license to:
	•	access the Services; and
	•	download or print a copy of any portion of the Content to which you have properly gained access.",61
"

Except as set out in this section or elsewhere in our Legal Terms, no part of the Services and no Content or Marks may be copied, reproduced, aggregated, republished, uploaded, posted, publicly displayed, encoded, translated, transmitted, distributed, sold, licensed, or otherwise exploited for any commercial purpose whatsoever, without our express prior written permission.",61
"

If you wish to make any use of the Services, Content, or Marks other than as set out in this section or elsewhere in our Legal Terms, please address your request to: yug@gmail.",61
"

Any breach of these Intellectual Property Rights will constitute a material breach of our Legal Terms and your right to use our Services will terminate immediately.",61
"

We may remove or edit your Content: Although we have no obligation to monitor any Contributions, we shall have the right to remove or edit any Contributions at any time without notice if in our reasonable opinion we consider such Contributions harmful or in breach of these Legal Terms.",61
" USER REPRESENTATIONS

By using the Services, you represent and warrant that: (1) all registration information you submit will be true, accurate, current, and complete; (2) you will maintain the accuracy of such information and promptly update such registration information as necessary; (3) you have the legal capacity and you agree to comply with these Legal Terms; (4) you are not a minor in the jurisdiction in which you reside, or if a minor, you have received parental permission to use the Services; (5) you will not access the Services through automated or non-human means, whether through a bot, script or otherwise; (6) you will not use the Services for any illegal or unauthorized purpose; and (7) your use of the Services will not violate any applicable law or regulation.",61
" If such software is accompanied by an end user license agreement (""EULA""), the terms of the EULA will govern your use of the software.",61
" If such software is not accompanied by a EULA, then we grant to you a non-exclusive, revocable, personal, and non-transferable license to use such software solely in connection with our services and in accordance with these Legal Terms.",61
 You may not reproduce or redistribute any software except in accordance with the EULA or these Legal Terms.,61
"
	•	You are the creator and owner of or have the necessary licenses, rights, consents, releases, and permissions to use and to authorize us, the Services, and other users of the Services to use your Contributions in any manner contemplated by the Services and these Legal Terms.",61
"
	•	You have the written consent, release, and/or permission of each and every identifiable individual person in your Contributions to use the name or likeness of each and every such identifiable individual person to enable inclusion and use of your Contributions in any manner contemplated by the Services and these Legal Terms.",61
"
	•	Your Contributions are not used to harass or threaten (in the legal sense of those terms) any other person and to promote violence against a specific person or class of people.",61
"
	•	Your Contributions do not otherwise violate, or link to material that violates, any provision of these Legal Terms, or any applicable law or regulation.",61
"
Any use of the Services in violation of the foregoing violates these Legal Terms and may result in, among other things, termination or suspension of your rights to use the Services.",61
" MOBILE APPLICATION LICENSE

Use License

If you access the Services via the App, then we grant you a revocable, non-exclusive, non-transferable, limited right to install and use the App on wireless electronic devices owned or controlled by you, and to access and use the App on such devices strictly in accordance with the terms and conditions of this mobile application license contained in these Legal Terms.",61
"

Apple and Android Devices

The following terms apply when you use the App obtained from either the Apple Store or Google Play (each an ""App Distributor"") to access the Services: (1) the license granted to you for our App is limited to a non-transferable license to use the application on a device that utilizes the Apple iOS or Android operating systems, as applicable, and in accordance with the usage rules set forth in the applicable App Distributor’s terms of service; (2) we are responsible for providing any maintenance and support services with respect to the App as specified in the terms and conditions of this mobile application license contained in these Legal Terms or as otherwise required under applicable law, and you acknowledge that each App Distributor has no obligation whatsoever to furnish any maintenance and support services with respect to the App; (3) in the event of any failure of the App to conform to any applicable warranty, you may notify the applicable App Distributor, and the App Distributor, in accordance with its terms and policies, may refund the purchase price, if any, paid for the App, and to the maximum extent permitted by applicable law, the App Distributor will have no other warranty obligation whatsoever with respect to the App; (4) you represent and warrant that (i) you are not located in a country that is subject to a US government embargo, or that has been designated by the US government as a ""terrorist supporting"" country and (ii) you are not listed on any US government list of prohibited or restricted parties; (5) you must comply with applicable third-party terms of agreement when using the App, e.",61
", if you have a VoIP application, then you must not be in violation of their wireless data service agreement when using the App; and (6) you acknowledge and agree that the App Distributors are third-party beneficiaries of the terms and conditions in this mobile application license contained in these Legal Terms, and that each App Distributor will have the right (and will be deemed to have accepted the right) to enforce the terms and conditions in this mobile application license contained in these Legal Terms against you as a third-party beneficiary thereof.",61
" If you decide to leave the Services and access the Third-Party Websites or to use or install any Third-Party Content, you do so at your own risk, and you should be aware these Legal Terms no longer govern.",61
" You should review the applicable terms and policies, including privacy and data gathering practices, of any website to which you navigate from the Services or relating to any applications you use or install from the Services.",61
